OBP,3B,SO,POS,SH,GIDP,G,R
.325,3,43,SS,3,4,58,32
.322,2,95,3B,2,8,115,50
.133,0,5,P,5,0,9,0
.000,0,1,C,0,0,1,0
.363,0,20,1B,0,5,41,17
.269,0,21,C,1,2,23,6
.367,3,28,LF,0,3,43,35
.167,0,0,P,0,0,22,0
.345,4,66,RF,2,13,88,45
.100,0,3,P,5,0,6,2
.327,2,50,C,7,10,69,32
.000,0,2,P,1,0,13,0
.366,2,114,LF,0,13,124,61
.404,2,29,LF,1,3,49,45
.287,1,92,1B,1,14,104,45
.333,0,7,2B,0,0,7,0
.105,0,6,P,1,0,9,0
.500,0,1,P,4,0,5,0
.391,4,86,SS,0,9,92,57
.289,0,41,3B,1,9,74,25
.330,7,86,SS,12,7,111,57
--,0,0,P,0,0,1,0
.377,2,105,RF,0,21,131,72
.200,0,2,P,0,0,2,0
.403,3,77,1B,0,11,109,42
.333,4,98,RF,0,7,99,48
.433,0,70,C,0,10,94,55
--,0,0,P,0,0,4,0
.250,0,1,P,0,0,15,1
.308,1,55,C,4,7,96,39
.231,0,11,RF,0,1,8,3
.235,0,5,P,3,0,9,0
.208,0,4,3B,0,1,6,0
.436,0,43,1B,0,6,41,27
.382,1,74,2B,4,6,93,54
.281,0,5,2B,0,0,10,2
.347,0,26,C,0,3,33,15
.395,0,1,DH,0,0,9,4
.417,4,58,LF,0,2,78,60
.376,0,40,LF,0,1,47,27
.149,0,6,C,0,3,16,5
.322,2,17,LF,1,0,36,10
.375,0,1,P,1,0,4,1
.365,2,69,RF,0,8,112,57
.304,0,78,C,1,6,94,44
.333,0,1,P,0,0,12,0
.316,0,13,2B,0,1,19,8
.342,2,126,CF,5,7,134,61
.053,0,5,P,3,0,9,0
.000,0,5,P,1,1,4,0
.223,0,31,C,4,5,53,10
--,0,0,P,0,0,9,0
.323,2,21,CF,2,6,40,19
.296,0,38,DH,0,7,58,13
.273,1,2,OF,0,1,3,1
.000,0,0,P,0,0,6,0
.354,3,105,3B,0,17,133,70
.302,1,104,1B,1,12,108,34
.296,2,50,2B,2,4,86,28
.283,0,2,2B,2,1,12,6
.370,0,41,1B,4,3,78,33
.333,0,0,P,0,0,15,0
--,0,0,P,0,0,1,0
.371,7,138,LF,0,3,110,74
.083,0,5,P,1,0,6,0
.174,0,15,RF,0,3,20,7
.334,2,70,3B,0,6,69,40
.351,0,44,1B,0,11,77,35
.000,0,0,P,0,0,12,0
.000,0,2,2B,0,0,2,0
.190,0,6,C,0,0,6,2
.274,0,110,3B,2,10,108,46
.301,0,15,2B,0,2,33,10
.273,0,1,P,2,0,11,1
.125,0,2,C,0,0,2,3
.385,5,63,LF,0,9,116,90
1.000,0,0,LF,0,0,1,0
.335,10,122,2B,9,9,137,75
.335,0,79,SS,12,15,139,56
.333,0,1,P,0,0,16,0
.000,0,2,RF,0,0,2,0
--,0,0,P,0,0,4,0
.341,3,116,1B,0,8,122,50
.357,4,64,LF,4,11,118,74
.167,0,0,LF,0,0,2,0
.000,0,0,P,1,0,2,0
.200,0,5,P,3,1,9,1
.290,0,14,1B,1,4,28,7
.342,1,75,2B,0,9,98,51
.000,0,3,P,0,0,2,0
.000,0,1,P,0,0,3,0
.305,2,29,3B,0,6,55,23
.350,1,51,DH,1,15,116,55
.000,0,0,P,0,0,3,0
.333,4,130,CF,4,3,106,64
.297,0,10,1B,0,1,22,5
.302,0,42,C,1,3,47,17
.000,0,2,P,1,0,3,0
.432,0,14,C,0,3,21,8
.305,1,12,C,0,3,32,14
.000,0,1,P,0,0,23,0
.311,1,50,RF,2,2,56,22
.229,0,10,3B,1,1,23,7
.200,0,1,P,0,0,19,1
--,0,0,P,1,0,16,0
--,0,0,P,0,0,12,0
.280,0,37,C,0,1,45,16
.000,0,0,P,0,0,1,0
.315,0,84,3B,0,16,134,74
.176,0,7,P,2,0,9,0
.333,0,2,P,0,0,17,3
.500,0,2,2B,0,0,5,1
.250,0,2,P,1,0,2,0
.425,0,23,C,0,1,24,22
.167,0,4,P,2,0,14,2
.077,0,4,P,1,0,8,0
